evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10
59 -0.6203130057 -0.264609 0.422475 -0.411995 -0.261269 -0.312726 -0.120501 -0.686787 0.464719 0.149420 0.449703 -1.000000
60 -0.4064876517 -0.343532 -0.799117 0.268102 0.224496 -0.776710 0.867735 0.478953 0.299214 0.793961 0.484423 -0.784115
61 -0.3999706794 -0.998415 -0.129383 0.452144 -0.068624 -0.582828 0.222198 -0.529702 0.402351 -0.071762 0.227181 -1.000000
62 -0.0669760420 0.390274 -0.247259 -0.596037 0.031852 -0.506609 0.525036 0.321868 0.361582 1.000000 0.706945 -0.734602
63 -0.6174606249 -0.767638 -0.084653 -0.655054 0.346593 -0.234303 0.530148 -0.484807 0.706460 -0.170919 0.313636 -1.000000
64 -0.3224762502 0.159497 -0.291989 0.511161 -0.383366 -0.855134 0.217086 0.276973 0.057473 1.000000 0.620490 -0.852553
65 -0.3726793317 -0.561975 -0.232712 -0.191668 -0.127666 -0.622691 0.037336 -0.470385 0.061165 1.000000 0.801139 -0.735679
66 -0.6246212322 -0.046166 -0.143930 0.047775 0.090894 -0.466746 0.709898 0.262551 0.702768 -0.068735 0.132987 -1.000000
67 -0.6004728096 -0.138123 -0.110226 -0.257647 0.238915 -0.459158 0.408802 -0.305258 1.000000 -0.304455 0.123522 -1.000000
68 -0.4120090543 -0.453937 0.104700 -0.109494 -0.265085 -0.312059 0.318748 0.140929 0.014553 0.411711 0.339080 -0.569600
69 -0.5998373580 -0.289509 0.215984 -0.380776 0.019894 -0.406526 0.742028 -0.192184 0.511769 -0.607539 0.128061 -1.000000
70 -0.4977755117 -0.302551 -0.221510 0.013635 -0.046064 -0.364691 -0.014479 0.027855 0.629400 0.714795 0.334541 -0.756267
71 -0.4637283726 -1.000000 -0.041684 -0.690612 0.342038 -0.193902 0.302701 -0.838860 0.732076 -0.292256 0.158981 -1.000000
72 -0.0881003510 0.699433 0.036158 0.323471 -0.368207 -0.577315 0.424848 0.674531 0.409094 0.399512 0.303621 -0.529766
73 -0.5645571422 -1.000000 -0.268967 -0.558604 -0.233141 -0.019281 0.522362 -0.033882 0.738767 -0.087286 0.247724 -1.000000
74 -0.1393213728 0.630925 0.263441 0.191463 0.206971 -0.751937 0.205187 -0.130447 0.402403 0.194542 0.214878 -0.661815
